Year,CAMPO,Variety,Field,Season,N Unit/He,K20 Unit/He,P Unit/He,CaO Unit/He,MgO Unit/He
2018,CARMEN ROSA,TIMCO,TIMCO 14 CR,BUD BREAK 40CM.,0,0,10,0,40
2018,CARMEN ROSA,THOMPSON,THOMPSON 08,BUD BREAK 40CM.,18,0,10,15.1,45
2018,CARMEN ROSA,THOMPSON,THOMPSON 07,BUD BREAK 40CM.,18,0,10,15.1,45
2018,CARMEN ROSA,THOMPSON,THOMPSON 00,BUD BREAK 40CM.,18,0,10,15.1,45
2018,CARMEN ROSA,SABLE,SABLE 14,BUD BREAK 40CM.,0,0,20,0,40
2018,CARMEN ROSA,TIMCO,TIMCO 14 CR,DECEMBER,78,120,20,0,0
2018,CARMEN ROSA,THOMPSON,THOMPSON 08,DECEMBER,24,60,30,14.4,0
2018,CARMEN ROSA,THOMPSON,THOMPSON 07,DECEMBER,24,60,30,14.4,0
2018,CARMEN ROSA,THOMPSON,THOMPSON 00,DECEMBER,24,60,30,14.4,0
2018,CARMEN ROSA,SABLE,SABLE 16,DECEMBER,60,0,0,0,0
2018,CARMEN ROSA,SABLE,SABLE 14,DECEMBER,63,120,20,14.4,0
2018,CARMEN ROSA,CRIMSON,CRIMSON 04,DECEMBER,80,160,20,32,0
2018,CARMEN ROSA,CRIMSON,CRIMSON 99-00,DECEMBER,80,160,20,32,0
2018,CARMEN ROSA,ARRA,ARRA15 CR 13,DECEMBER,100,120,20,0,0
2018,CARMEN ROSA,THOMPSON,THOMPSON 96,POS FRUIT SET,24,60,30,14.4,0
2018,LORETO,THOMPSON,THOMPSON LORETO,POS FRUIT SET,34,121.6,30,14.4,0
2018,CARMEN ROSA,INIAGRAPEONE,INIAGRAPE ONE 15,POS FRUIT SET,60,0,0,0,0
2018,CARMEN ROSA,INIAGRAPEONE,INIAGRAPE ONE 14,POS FRUIT SET,140,200,20,48,0
2018,CARMEN ROSA,THOMPSON,THOMPSON 96,PRE FLOWERING,18,0,10,15.1,45
2018,LORETO,THOMPSON,THOMPSON LORETO,PRE FLOWERING,18,0,10,15.1,45
2018,CARMEN ROSA,INIAGRAPEONE,INIAGRAPE ONE 14,PRE FLOWERING,0,0,50,0,50
2018,CARMEN ROSA,CRIMSON,CRIMSON 99-00,PRE FLOWERING,0,0,20,0,80
2018,CARMEN ROSA,CRIMSON,CRIMSON 04,PRE FLOWERING,0,0,10,0,40
2018,CARMEN ROSA,ARRA,ARRA15 CR 13,PRE FLOWERING,0,0,30,0,50
2019,CARMEN ROSA,TIMCO,TIMCO 14 CR,POS FRUIT SET,95,100,20,0,0
2019,CARMEN ROSA,THOMPSON,THOMPSON 96,POS FRUIT SET,24,60,20,14.4,0
2019,CARMEN ROSA,THOMPSON,THOMPSON 08,POS FRUIT SET,24,60,20,14.4,0
2019,CARMEN ROSA,THOMPSON,THOMPSON 07,POS FRUIT SET,24,60,20,14.4,0
2019,CARMEN ROSA,THOMPSON,THOMPSON 00,POS FRUIT SET,24,60,20,14.4,0
2019,LORETO,THOMPSON,THOMPSON LORETO,POS FRUIT SET,34,160,20,14.4,0
2019,CARMEN ROSA,SABLE,SABLE 16,POS FRUIT SET,63,120,20,14.4,0
2019,CARMEN ROSA,Sable,SABLE 14,POS FRUIT SET,63,120,20,14.4,0
2019,CARMEN ROSA,INIAGRAPEONE,INIAGRAPE ONE 14,POS FRUIT SET,140,200,20,48,0
2019,CARMEN ROSA,CRIMSON,CRIMSON 04,POS FRUIT SET,80,160,20,32,0
2019,CARMEN ROSA,CRIMSON,CRIMSON 99-00,POS FRUIT SET,160,320,40,64,0
2019,CARMEN ROSA,ARRA,ARRA15 CR 13,POS FRUIT SET,100,120,20,32,0
2019,CARMEN ROSA,TIMCO,TIMCO 14 CR,PRE FLOWERING,18,0,10,14.4,50
2019,CARMEN ROSA,THOMPSON,THOMPSON 96,PRE FLOWERING,18,0,10,14.4,40
2019,CARMEN ROSA,THOMPSON,THOMPSON 08,PRE FLOWERING,18,0,10,14.4,50
2019,CARMEN ROSA,THOMPSON,THOMPSON 07,PRE FLOWERING,18,0,10,14.4,50
2019,CARMEN ROSA,THOMPSON,THOMPSON 00,PRE FLOWERING,18,0,10,14.4,40
2019,LORETO,THOMPSON,THOMPSON LORETO,PRE FLOWERING,18,0,10,14.4,40
2019,CARMEN ROSA,SABLE,SABLE 16,PRE FLOWERING,18,0,10,14.4,50
2019,CARMEN ROSA,Sable,SABLE 14,PRE FLOWERING,18,0,10,14.4,50
2019,CARMEN ROSA,INIAGRAPEONE,INIAGRAPE ONE 14,PRE FLOWERING,18,0,10,14.4,0
2019,CARMEN ROSA,CRIMSON,CRIMSON 99-00,PRE FLOWERING,0,0,20,0,80
2019,CARMEN ROSA,CRIMSON,CRIMSON 04,PRE FLOWERING,0,0,10,0,40
2019,CARMEN ROSA,ARRA,ARRA15 CR 13,PRE FLOWERING,0,0,10,0,50
2020,CARMEN ROSA,TIMCO,TIMCO 14 CR,POS FRUIT SET,80,160,20,32,0
2020,CARMEN ROSA,THOMPSON,THOMPSON 96,POS FRUIT SET,32,60,20,14.4,0
2020,LORETO,THOMPSON,THOMPSON LORETO,POS FRUIT SET,32,60,20,14.4,0
2020,CARMEN ROSA,THOMPSON,THOMPSON 08,POS FRUIT SET,24,60,20,14.4,0
2020,CARMEN ROSA,THOMPSON,THOMPSON 07,POS FRUIT SET,24,60,20,14.4,0
2020,CARMEN ROSA,THOMPSON,THOMPSON 00,POS FRUIT SET,32,60,20,14.4,0
2020,CARMEN ROSA,SABLE,SABLE 16,POS FRUIT SET,0,60,20,0,0
2020,CARMEN ROSA,SABLE,SABLE 14,POS FRUIT SET,81,180,20,28.8,0
2020,CARMEN ROSA,INIAGRAPEONE,INIAGRAPE ONE 15,POS FRUIT SET,122,220,20,48,0
2020,CARMEN ROSA,INIAGRAPEONE,INIAGRAPE ONE 14,POS FRUIT SET,122,220,20,48,0
2020,CARMEN ROSA,CRIMSON,CRIMSON 04,POS FRUIT SET,80,160,20,32,0
2020,CARMEN ROSA,CRIMSON,CRIMSON 99-00,POS FRUIT SET,160,320,40,64,0
2020,CARMEN ROSA,ARRA,ARRA15 CR 13,POS FRUIT SET,100,120,20,32,0
2020,CARMEN ROSA,TIMCO,TIMCO 14 CR,PRE FLOWERING,0,0,10,0,200
2020,LORETO,THOMPSON,THOMPSON LORETO,PRE FLOWERING,18,0,10,15.1,100
2020,CARMEN ROSA,THOMPSON,THOMPSON 96,PRE FLOWERING,18,0,10,15.1,100
2020,CARMEN ROSA,THOMPSON,THOMPSON 08,PRE FLOWERING,18,0,10,15.1,150
2020,CARMEN ROSA,THOMPSON,THOMPSON 07,PRE FLOWERING,18,0,10,15.1,150
2020,CARMEN ROSA,THOMPSON,THOMPSON 00,PRE FLOWERING,18,0,10,15.1,100
2020,CARMEN ROSA,SABLE,SABLE 16,PRE FLOWERING,0,0,10,0,200
2020,CARMEN ROSA,SABLE,SABLE 14,PRE FLOWERING,0,0,10,0,200
2020,CARMEN ROSA,INIAGRAPEONE,INIAGRAPE ONE 15,PRE FLOWERING,18,0,10,0,200
2020,CARMEN ROSA,INIAGRAPEONE,INIAGRAPE ONE 14,PRE FLOWERING,18,0,10,0,200
2020,CARMEN ROSA,CRIMSON,CRIMSON 99-00,PRE FLOWERING,0,0,20,0,300
2020,CARMEN ROSA,CRIMSON,CRIMSON 04,PRE FLOWERING,0,0,10,0,100
2020,CARMEN ROSA,ARRA,ARRA15 CR 13,PRE FLOWERING,0,0,10,0,200
